"station_id","latitude","longitude","subway_line","address_by_law"
1,37.55572891,126.9721451,"1,4,KJ,AP",1114012000
2,37.56562424,126.9769363,"1,2",1114016700
3,37.570169,126.983099,"1",1111012600
4,37.5715695,126.991895,"1,3,5",1111015600
5,37.570988,127.001921,"1",1111016300
6,37.5712557,127.0090801,"1,4",1111017400
7,37.57610703,127.0245361,"1,2,US",1123010100
8,37.578196,127.034867,"1",1123010300
9,37.58016586,127.0443268,"1,KJ,KC",1123010700
10,37.573246,127.0163651,"1,6",1111017500
11,37.56604767,126.982399,"2",1114010400
12,37.56610107,126.9910583,"2,3",1114015500
13,37.5666977,126.998123,"2,5",1114015000
14,37.5649788,127.007742,"2,4,5",1114014900
15,37.5653138,127.0162493,"2,6",1114016200
16,37.56454086,127.029541,"2",1120010300
17,37.56117249,127.0372696,"2,5,DL,KJ",1120010700
18,37.55560303,127.0437622,"2",1120010700
19,37.54716873,127.0473328,"2",1120011400
20,37.544569,127.055974,"2",1120011500
21,37.5398956,127.0706737,"2,7",1121510500
22,37.537145,127.086135,"2",1121510500
23,37.53538895,127.0945511,"2",1121510300
24,37.52083206,127.1041489,"2",1171010200
25,37.513342,127.100155,"2,8",1171010200
26,37.5116359,127.085542,"2",1171010100
27,37.5113322,127.074955,"2,9",1171010100
28,37.50889587,127.0630798,"2",1168010500
29,37.5045072,127.048999,"2,DL",1168010100
30,37.5006645,127.036426,"2",1168010100
31,37.497942,127.027621,"2,ND",1168010100
32,37.493682,127.013705,"2,3",1165010800
33,37.49184,127.007688,"2",1165010800
34,37.4816246,126.9972916,"2",1165010100
35,37.47661209,126.9816284,"2,4",1159010700
36,37.477117,126.963418,"2",1162010100
37,37.48105621,126.9523544,"2",1162010100
38,37.482476,126.941574,"2",1162010100
39,37.48445511,126.9293976,"2",1162010200
40,37.48755264,126.9129562,"2",1159010900
41,37.48535538,126.901123,"2",1153010200
42,37.4919784,126.8954424,"2,7",1153010200
43,37.50874329,126.8911285,"1,2",1153010100
44,37.517989,126.894808,"2",1156012100
45,37.524152,126.89628,"2,5",1156011700
46,37.533875,126.90196,"2,9",1156011600
47,37.5499284,126.914407,"2,6",1144012000
48,37.556838,126.923774,"2,KJ,AP",1144012100
49,37.5551399,126.9369074,"2",1141011600
50,37.5568038,126.946309,"2",1144010800
51,37.557621,126.9561996,"2",1141011000
52,37.5597295,126.96321,"2,5",1141010200
53,37.56227112,127.0510025,"2",1120010600
54,37.5700591,127.0464306,"2",1120012200
55,37.5142728,126.8827957,"2",1153010100
56,37.51255035,126.8657455,"2",1147010100
57,37.51985168,126.8530579,"2",1147010100
58,37.57384491,127.0377426,"2",1123010200
59,37.5317498,126.846715,"2,5",1150010300
61,37.63650513,126.9188309,"3",1138011400
62,37.6188378,126.9213288,"3,6",1138010300
63,37.61091232,126.9297333,"3,6",1138010300
64,37.600869,126.935761,"3",1138010200
65,37.588792,126.944094,"3",1141011100
66,37.5822759,126.9503465,"3",1141011100
67,37.574453,126.957918,"3",1141010900
68,37.57588577,126.9732361,"3",1111010700
69,37.576556,126.985472,"3",1111014100
70,37.5612798,126.9942728,"3,4",1114013200
71,37.55904388,127.0050354,"3",1114014400
72,37.55444336,127.0110016,"3,6",1114016200
